activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,111578,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '10.88', 'le': '0.21', 'lle': '0.43', 'sei': '5.64'}",CHEMBL100675,,CHEMBL100675,4.66,False,http://www.openphacts.org/units/Nanomolar,187105,=,1,True,=,,IC50,nM,,22000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,22.0
,111580,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2nccc(N(Cc3ccccc3)c3cc(Cl)ccc3Cl)n2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,,CHEMBL102008,,CHEMBL102008,,False,http://www.openphacts.org/units/Nanomolar,187116,>,1,True,>,,IC50,nM,,10000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,10.0
,111582,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2cc(-c3ccccc3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL405021,,CHEMBL405021,,True,http://www.openphacts.org/units/Nanomolar,194020,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,112982,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,,CHEMBL318188,,CHEMBL318188,,True,http://www.openphacts.org/units/Nanomolar,187121,>,1,True,>,,IC50,nM,,100000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,100.0
,112984,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1[nH]nc2cc(-c3ccc(O)nc3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL106060,,CHEMBL106060,,False,http://www.openphacts.org/units/Nanomolar,194030,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,112986,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,"{'bei': '17.05', 'le': '0.40', 'lle': '2.39', 'sei': '8.77'}",CHEMBL260231,,CHEMBL260231,6.19,True,http://www.openphacts.org/units/Nanomolar,194005,=,1,True,=,,IC50,nM,,639.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,639.0
,114279,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '13.35', 'le': '0.25', 'lle': '2.26', 'sei': '5.08'}",CHEMBL99689,,CHEMBL99689,5.40,False,http://www.openphacts.org/units/Nanomolar,187127,=,1,True,=,,IC50,nM,,4000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,4.0
,114281,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '9.93', 'le': '0.21', 'lle': '0.52', 'sei': '5.52'}",CHEMBL100811,,CHEMBL100811,4.55,False,http://www.openphacts.org/units/Nanomolar,187097,=,1,True,=,,IC50,nM,,28000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,28.0
,114283,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(F)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '9.94', 'le': '0.19', 'lle': '0.38', 'sei': '4.96'}",CHEMBL328623,,CHEMBL328623,4.09,False,http://www.openphacts.org/units/Nanomolar,187106,=,1,True,=,,IC50,nM,,81000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,81.0
,114285,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,"{'bei': '28.30', 'le': '0.52', 'lle': '5.02', 'sei': '10.64'}",CHEMBL260163,,CHEMBL260163,8.30,False,http://www.openphacts.org/units/Nanomolar,194019,=,1,True,=,,IC50,nM,,5.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,5.0
,114287,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CCN1CCC(CC(=O)Nc2n[nH]c3nc(-c4cccs4)c(Br)cc23)CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL101747,,CHEMBL101747,,True,http://www.openphacts.org/units/Nanomolar,194012,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,115400,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2cc(-c3cccc(F)c3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL261660,,CHEMBL261660,,True,http://www.openphacts.org/units/Nanomolar,194025,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
Not Determined,115965,[],CHEMBL661131,Inhibition of Cyclin-dependent kinase 2 (No Data),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C(CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,,,CHEMBL1133758,J. Med. Chem.,2000,,CHEMBL83320,,CHEMBL83320,,False,,150670,,1,False,,,IC50,,,,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,,,
,116837,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2cc(-c3ccco3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,"{'bei': '23.20', 'le': '0.42', 'lle': '3.03', 'sei': '8.74'}",CHEMBL421207,,CHEMBL421207,6.20,True,http://www.openphacts.org/units/Nanomolar,194009,=,1,True,=,,IC50,nM,,631.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,631.0
,118042,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(-c3ccccc3)cc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,"{'bei': '22.41', 'le': '0.40', 'lle': '3.95', 'sei': '9.13'}",CHEMBL427909,,CHEMBL427909,8.30,True,http://www.openphacts.org/units/Nanomolar,194001,=,1,True,=,,IC50,nM,,5.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,5.0
,118044,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CS(=O)(=O)Nc1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL102936,,CHEMBL102936,,False,http://www.openphacts.org/units/Nanomolar,194031,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,118471,[],CHEMBL661130,Inhibition of Cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)n1cnc2c(NC3CCCC3)nc(NCCCO)nc21,,,CHEMBL1133758,J. Med. Chem.,2000,"{'bei': '18.99', 'le': '0.36', 'lle': '3.49', 'sei': '6.88'}",CHEMBL315837,,CHEMBL315837,6.05,False,http://www.openphacts.org/units/Nanomolar,150665,=,1,True,=,,IC50,nM,,900.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,0.9
,119257,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,NS(=O)(=O)c1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL407113,,CHEMBL407113,,True,http://www.openphacts.org/units/Nanomolar,194015,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,119259,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL408564,,CHEMBL408564,,True,http://www.openphacts.org/units/Nanomolar,194002,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,119601,[],CHEMBL661130,Inhibition of Cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc21,,,CHEMBL1133758,J. Med. Chem.,2000,"{'bei': '17.91', 'le': '0.33', 'lle': '3.29', 'sei': '6.94'}",CHEMBL83980,BOHEMINE,CHEMBL83980,6.10,False,http://www.openphacts.org/units/Nanomolar,150674,=,1,True,=,,IC50,nM,,800.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,0.8
,120507,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCC#N)c3cc(Cl)ccc3Cl)n2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '11.01', 'le': '0.22', 'lle': '0.64', 'sei': '5.66'}",CHEMBL101156,,CHEMBL101156,5.52,False,http://www.openphacts.org/units/Nanomolar,187101,=,1,True,=,,IC50,nM,,3000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,3.0
,121677,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '12.95', 'le': '0.24', 'lle': '1.53', 'sei': '6.18'}",CHEMBL101473,,CHEMBL101473,5.10,False,http://www.openphacts.org/units/Nanomolar,187114,=,1,True,=,,IC50,nM,,8000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,8.0
,121679,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2cc(-c3ccsc3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,"{'bei': '22.29', 'le': '0.43', 'lle': '2.68', 'sei': '10.93'}",CHEMBL260928,,CHEMBL260928,6.32,True,http://www.openphacts.org/units/Nanomolar,194006,=,1,True,=,,IC50,nM,,484.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,484.0
,121681,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2nc(-c3ccco3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL101804,,CHEMBL101804,,True,http://www.openphacts.org/units/Nanomolar,194003,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,122915,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '11.65', 'le': '0.22', 'lle': '1.02', 'sei': '5.55'}",CHEMBL99687,,CHEMBL99687,4.58,False,http://www.openphacts.org/units/Nanomolar,187095,=,1,True,=,,IC50,nM,,26000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,26.0
,122917,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3F)ncn2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,,CHEMBL318485,,CHEMBL318485,,False,http://www.openphacts.org/units/Nanomolar,187096,>,1,True,>,,IC50,nM,,100000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,100.0
,122919,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2cc(-c3cc(F)ccc3F)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL261440,,CHEMBL261440,,False,http://www.openphacts.org/units/Nanomolar,194028,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,124143,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CS(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL103080,,CHEMBL103080,,False,http://www.openphacts.org/units/Nanomolar,194010,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,124665,[],CHEMBL661130,Inhibition of Cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)n1cnc2c(N)nc(NCCCO)nc21,,,CHEMBL1133758,J. Med. Chem.,2000,"{'bei': '22.45', 'le': '0.43', 'lle': '4.84', 'sei': '5.52'}",CHEMBL84140,,CHEMBL84140,5.62,False,http://www.openphacts.org/units/Nanomolar,150669,=,1,True,=,,IC50,nM,,2400.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,2.4
,125500,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCCC(F)(F)F)c3cc(Cl)ccc3Cl)n2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '8.81', 'le': '0.18', 'lle': '-1.39', 'sei': '6.67'}",CHEMBL101887,,CHEMBL101887,4.92,False,http://www.openphacts.org/units/Nanomolar,187115,=,1,True,=,,IC50,nM,,12000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,12.0
,125502,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CCN1CCN(CCCC(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,"{'bei': '14.82', 'le': '0.32', 'lle': '3.77', 'sei': '7.42'}",CHEMBL407981,,CHEMBL407981,7.22,True,http://www.openphacts.org/units/Nanomolar,194022,=,1,True,=,,IC50,nM,,60.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,60.0
,125504,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1[nH]nc2cc(-c3ccc4ncccc4c3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL103099,,CHEMBL103099,,False,http://www.openphacts.org/units/Nanomolar,194017,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,127000,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Cl)c3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,"{'bei': '26.46', 'le': '0.52', 'lle': '5.37', 'sei': '9.57'}",CHEMBL259838,,CHEMBL259838,8.70,False,http://www.openphacts.org/units/Nanomolar,194032,=,1,True,=,,IC50,nM,,2.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,2.0
,127002,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,NS(=O)(=O)c1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL103098,,CHEMBL103098,,False,http://www.openphacts.org/units/Nanomolar,194016,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,128146,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '9.94', 'le': '0.19', 'lle': '0.80', 'sei': '4.44'}",CHEMBL101868,,CHEMBL101868,4.07,True,http://www.openphacts.org/units/Nanomolar,187119,=,1,True,=,,IC50,nM,,85000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,85.0
,129334,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '10.39', 'le': '0.21', 'lle': '0.09', 'sei': '5.64'}",CHEMBL322640,,CHEMBL322640,4.66,True,http://www.openphacts.org/units/Nanomolar,187107,=,1,True,=,,IC50,nM,,22000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,22.0
